epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4963,1.74811,3.21471,1.52012,0.00455,0.21497,0.03129,0.01907,1.24813,3.75117,1.24962,0.000463798,0.000463798,0.000463798
2,44.7636,1.35189,1.82112,1.1571,0.67443,0.19822,0.26323,0.17163,1.2366,2.42374,1.17424,0.000847059,0.000847059,0.000847059
3,52.8391,1.29129,1.60887,1.11763,0.73605,0.36714,0.40257,0.2436,1.29798,1.69725,1.18269,0.001136,0.001136,0.001136
4,60.8257,1.25101,1.43855,1.1055,0.6339,0.5246,0.55036,0.35098,1.14563,1.36997,1.12636,0.00100459,0.00100459,0.00100459
5,68.9457,1.20091,1.23483,1.06531,0.57897,0.56614,0.58073,0.34517,1.24492,1.27057,1.11597,0.000863116,0.000863116,0.000863116
6,77.0092,1.19637,1.19568,1.07153,0.80704,0.53804,0.62297,0.39182,1.11961,1.04438,1.06986,0.000721645,0.000721645,0.000721645
7,85.1009,1.16159,1.07045,1.03672,0.89356,0.58613,0.67307,0.43105,1.08796,0.99203,1.06601,0.000580174,0.000580174,0.000580174
8,93.1779,1.14279,1.03016,1.04413,0.68036,0.5964,0.65482,0.42199,1.06933,0.89547,1.05027,0.000438703,0.000438703,0.000438703
9,101.319,1.11095,0.94495,1.02373,0.88263,0.63313,0.71836,0.47231,1.067,0.83079,1.03421,0.000297232,0.000297232,0.000297232
10,109.506,1.05802,0.88095,0.99571,0.81292,0.69634,0.73905,0.49145,1.0397,0.7884,1.02595,0.000155761,0.000155761,0.000155761
